classe,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,note,rang
mp,0,5,2,1.0,,,5.0,0.0,4.0,,,,,,5.0,1.0,,,,
mpp,,5,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,15.3,4.0
mpp,77,5,5,5.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,14.4,11.0
mpp,2008,5,5,5.0,4.0,5.0,5.0,2.0,3.0,1.0,5.0,5.0,,,5.0,2.0,,,10.4,24.0
mpp,1712,4,5,5.0,4.0,5.0,5.0,0.0,3.0,5.0,,,0.0,,5.0,2.0,,,8.4,30.0
mpp,248,5,5,4.0,0.0,0.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,,5.0,,10.1,25.0
mpp,412,5,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,15.7,2.0
mpp,296,5,5,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,,5.0,5.0,2.0,4.0,3.0,15.2,5.0
mpp,1411,5,5,5.0,,,5.0,3.0,3.0,5.0,5.0,5.0,5.0,,5.0,3.0,0.0,,9.3,28.0
mpp,1104,5,5,4.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,,11.6,21.0
mpp,318,5,5,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,14.6,10.0
mpp,15,5,5,4.0,4.0,,5.0,2.0,5.0,5.0,5.0,5.0,5.0,,5.0,0.0,5.0,,12.7,18.0
mpp,111,5,3,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,13.7,15.0
mpp,,5,5,5.0,5.0,5.0,5.0,2.0,2.0,3.0,,5.0,0.0,0.0,5.0,0.0,,,8.8,29.0
mpp,,5,4,5.0,2.0,0.0,5.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,0.0,,10.6,23.0
mpp,910,5,5,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,1.0,14.8,9.0
mpp,305,5,4,4.0,2.0,0.0,0.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,10.1,25.0
